"CommonName","IslandGroup","TaxonOrder","DemClass","value"
"Black-browed Albatross","Falkland Islands (Islas Malvinas)","15","theta",848992.433545961
"Black-browed Albatross","South Georgia (Islas Georgias del Sur)","18","theta",149186.59737056
"Black-browed Albatross","Kerguelen","17","theta",10473.9600408439
"Black-browed Albatross","Islas Diego Ramirez","16","theta",136022.063222179
"Buller's Albatross","The Snares","12","theta",33637.8680104081
"Chatham Albatross","Chatham Island","11","theta",9594.23005631338
"Grey Petrel","Antipodes Islands","34","theta",103754.83096494
"Grey Petrel","Gough","36","theta",29364.5748013982
"Grey Petrel","Prince Edward Islands","35","theta",10128.8546868008
"Grey-headed Albatross","South Georgia (Islas Georgias del Sur)","14","theta",138798.652727185
"Grey-headed Albatross","Prince Edward Islands","13","theta",23462.5653343455
"Indian Yellow-nosed Albatross","Amsterdam and St Paul","19","theta",15543.6210825732
"Light-mantled Albatross","Prince Edward Islands","23","theta",1198.54973799116
"Northern Giant Petrel","Prince Edward Islands","26","theta",2159.17533916632
"Northern Giant Petrel","South Georgia (Islas Georgias del Sur)","27","theta",10560.8028845138
"Northern Royal Albatross","Chatham Island","8","theta",10464.5769043868
"Salvin's Albatross","The Snares","10","theta",1945.82459485375
"Sooty Albatross","Prince Edward Islands","21","theta",7596.19533443717
"Sooty Albatross","Tristan da Cunha","22","theta",22608.3343298183
"Southern Giant Petrel","Prince Edward Islands","24","theta",5491.94272752177
"Southern Giant Petrel","South Georgia (Islas Georgias del Sur)","25","theta",8853.5098290231
"Spectacled Petrel","Tristan da Cunha","31","theta",32347.9828979225
"Tristan Albatross","Gough","4","theta",2459.60354019915
"Wandering Albatross","South Georgia (Islas Georgias del Sur)","3","theta",7712.1017720762
"Wandering Albatross","Crozet","1","theta",6162.31232641707
"Wandering Albatross","Kerguelen","2","theta",4022.26003525748
"Westland Petrel","New Zealand","33","theta",9641.18583966747
"White-capped Albatross","Auckland Islands","9","theta",214283.422931488
"White-chinned Petrel","South Georgia (Islas Georgias del Sur)","30","theta",1002226.03456172
"White-chinned Petrel","Prince Edward Islands","29","theta",44961.5543087566
"White-chinned Petrel","Antipodes Islands","28","theta",31409.6826584975
